WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,PSW_x,PSL,match,win0,confidence0,PSW_y,date
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Sabalenka A.,Stephens S.,3,62,2.0,1.0,Completed,1.24,4.63,1743,1,1.0352425456047056,1.24,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Konta J.,Svitolina E.,41,5,2.0,1.0,Completed,3.28,1.39,1744,0,1.063181876540184,3.28,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Giorgi C.,Podoroska N.,71,38,2.0,0.0,Completed,1.54,2.65,1745,1,0.6850382924079895,1.54,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Pliskova Ka.,Vekic D.,6,56,2.0,1.0,Completed,1.53,2.7,1746,1,0.9035935807228088,1.53,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Anisimova A.,Dodin O.,86,109,2.0,0.0,Completed,1.44,3.01,1747,1,1.1225830936431884,1.44,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Sorribes Tormo S.,Samsonova L.,48,52,2.0,0.0,Completed,1.83,2.1,1748,1,0.8182274383306504,1.83,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Marino R.,Badosa P.,220,31,2.0,1.0,Completed,4.92,1.22,1749,0,1.0185450851917266,4.92,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Azarenka V.,Cirstea S.,15,40,2.0,0.0,Completed,1.39,3.27,1750,1,0.8641141027212143,1.39,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Andreescu B.,Dart H.,8,172,2.0,1.0,Completed,1.3,3.93,1751,1,0.9988869309425354,1.3,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,1st Round,Collins D.,Teichmann J.,28,65,2.0,1.0,Completed,1.27,4.09,1752,1,1.0587087696790696,1.27,2021-08-11
40,Montreal,Canadian Open,2021-08-11,WTA1000,Outdoor,Hard,2nd Round,Sakkari M.,Kudermetova V.,18,33,2.0,1.0,Completed,1.4,3.2,1753,1,1.0708306670188903,1.4,2021-08-11
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Giorgi C.,Kvitova P.,71,12,2.0,0.0,Completed,2.07,1.85,1754,1,1.0881672352552414,2.07,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Pliskova Ka.,Anisimova A.,6,86,2.0,0.0,Completed,1.6,2.51,1755,1,1.1197877883911134,1.6,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Azarenka V.,Sakkari M.,15,18,2.0,1.0,Completed,1.81,2.13,1756,1,0.8092850619554519,1.81,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Sorribes Tormo S.,Siniakova K.,48,55,2.0,1.0,Completed,2.09,1.83,1757,1,1.0267706310749052,2.09,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Gauff C.,Konta J.,24,41,,,Walkover,1.43,3.07,1758,1,1.1580891329050063,1.43,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,2nd Round,Jabeur O.,Kasatkina D.,22,27,2.0,1.0,Completed,1.61,2.47,1759,1,1.227160613536835,1.61,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,2nd Round,Pegula J.,Pavlyuchenkova A.,30,17,2.0,1.0,Completed,2.05,1.86,1760,0,0.8599404215812684,2.05,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,2nd Round,Collins D.,Halep S.,28,13,2.0,1.0,Completed,1.8,2.13,1761,1,0.8048138737678527,1.8,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,2nd Round,Gauff C.,Potapova A.,24,100,0.0,0.0,Retired,1.26,4.39,1762,1,1.0148022902011873,1.26,2021-08-12
40,Montreal,Canadian Open,2021-08-12,WTA1000,Outdoor,Hard,3rd Round,Sabalenka A.,Marino R.,3,220,2.0,0.0,Completed,1.15,6.55,1763,1,1.010653558373451,1.15,2021-08-12
40,Montreal,Canadian Open,2021-08-13,WTA1000,Outdoor,Hard,3rd Round,Jabeur O.,Andreescu B.,22,8,2.0,1.0,Completed,1.78,2.17,1764,0,0.9408143651485443,1.78,2021-08-13
40,Montreal,Canadian Open,2021-08-13,WTA1000,Outdoor,Hard,3rd Round,Pegula J.,Collins D.,30,28,2.0,1.0,Completed,1.74,2.23,1765,1,1.1915873122215273,1.74,2021-08-13
40,Montreal,Canadian Open,2021-08-13,WTA1000,Outdoor,Hard,Quarterfinals,Sabalenka A.,Azarenka V.,3,15,2.0,0.0,Completed,1.65,2.4,1766,1,1.2455535918474196,1.65,2021-08-13
40,Montreal,Canadian Open,2021-08-13,WTA1000,Outdoor,Hard,Quarterfinals,Pliskova Ka.,Sorribes Tormo S.,6,48,2.0,0.0,Completed,1.42,3.14,1767,1,1.1816503512859344,1.42,2021-08-13
40,Montreal,Canadian Open,2021-08-14,WTA1000,Outdoor,Hard,Quarterfinals,Giorgi C.,Gauff C.,71,24,2.0,0.0,Completed,2.32,1.68,1768,0,1.1528823280334473,2.32,2021-08-14
40,Montreal,Canadian Open,2021-08-14,WTA1000,Outdoor,Hard,Quarterfinals,Pegula J.,Jabeur O.,30,22,2.0,1.0,Completed,2.21,1.75,1769,0,1.198435515165329,2.21,2021-08-14
40,Montreal,Canadian Open,2021-08-14,WTA1000,Outdoor,Hard,Semifinals,Pliskova Ka.,Sabalenka A.,6,3,2.0,0.0,Completed,2.9,1.47,1770,0,1.166303504705429,2.9,2021-08-14
40,Montreal,Canadian Open,2021-08-14,WTA1000,Outdoor,Hard,Semifinals,Giorgi C.,Pegula J.,71,30,2.0,1.0,Completed,1.81,2.12,1771,0,0.9247600960731507,1.81,2021-08-14
40,Montreal,Canadian Open,2021-08-15,WTA1000,Outdoor,Hard,The Final,Giorgi C.,Pliskova Ka.,71,6,2.0,0.0,Completed,2.59,1.56,1772,0,0.9844283151626588,2.59,2021-08-15
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Badosa P.,Martic P.,31,34,2.0,1.0,Completed,1.52,2.69,1773,1,0.8173375177383422,1.52,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Ostapenko J.,Zidansek T.,32,39,2.0,0.0,Completed,1.52,2.68,1774,1,0.9097549009323119,1.52,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Watson H.,Sasnovich A.,67,90,2.0,1.0,Completed,2.42,1.63,1775,0,1.2083445304632188,2.42,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Teichmann J.,Cirstea S.,65,40,2.0,0.0,Completed,2.42,1.63,1776,0,1.281173512339592,2.42,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Krejcikova B.,Kasatkina D.,10,27,2.0,0.0,Completed,1.6,2.48,1777,1,1.1927807807922364,1.6,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-16,WTA1000,Outdoor,Hard,1st Round,Kvitova P.,Keys M.,12,26,2.0,0.0,Completed,1.76,2.17,1778,1,1.1158956050872801,1.76,2021-08-16
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Gauff C.,Hsieh S.W.,24,73,2.0,0.0,Completed,1.32,3.71,1779,1,0.9932329630851746,1.32,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Rybakina E.,Stosur S.,19,186,2.0,0.0,Completed,1.09,8.88,1780,1,0.9988715988397598,1.09,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Halep S.,Linette M.,13,44,2.0,1.0,Completed,1.35,3.46,1781,1,1.0853823244571685,1.35,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Muchova K.,Konta J.,23,41,2.0,1.0,Completed,1.5,2.76,1782,1,0.8977844417095184,1.5,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Brady J.,Alexandrova E.,14,35,2.0,0.0,Completed,1.88,2.01,1783,1,1.0415217185020447,1.88,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Pera B.,Peterson R.,83,53,2.0,0.0,Completed,1.85,2.05,1784,0,1.0656836122274398,1.85,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Riske A.,Fernandez L.A.,37,70,2.0,0.0,Completed,4.1,1.27,1785,0,1.0587087696790696,4.1,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Rogers S.,Collins D.,43,28,1.0,0.0,Retired,2.52,1.58,1786,0,1.1510959362983706,2.52,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Putintseva Y.,Zhang S.,36,51,2.0,0.0,Completed,1.71,2.25,1787,1,1.085020017027855,1.71,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Mertens E.,Podoroska N.,16,38,2.0,0.0,Completed,1.4,3.17,1788,1,0.996364176273346,1.4,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-17,WTA1000,Outdoor,Hard,1st Round,Kerber A.,Sakkari M.,21,18,2.0,0.0,Completed,3.38,1.36,1789,0,1.1176662302017213,3.38,2021-08-17
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Kvitova P.,Kudermetova V.,12,33,2.0,0.0,Completed,1.74,2.22,1790,1,1.1915873122215273,1.74,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Bencic B.,Rogers S.,11,43,2.0,0.0,Completed,1.5,2.8,1791,1,0.8858760595321655,1.5,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Badosa P.,Sabalenka A.,31,3,2.0,1.0,Completed,3.32,1.38,1792,0,1.0555330860614776,3.32,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Azarenka V.,Riske A.,15,37,2.0,0.0,Completed,1.17,5.97,1793,1,0.9520741438865661,1.17,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Barty A.,Watson H.,1,67,2.0,0.0,Completed,1.15,6.35,1794,1,1.010653558373451,1.15,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Krejcikova B.,Yastremska D.,10,50,2.0,0.0,Completed,1.26,4.35,1795,1,1.0148022902011873,1.26,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Teichmann J.,Pera B.,65,83,2.0,0.0,Completed,1.79,2.15,1796,1,0.8003426855802537,1.79,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Osaka N.,Gauff C.,2,24,2.0,1.0,Completed,1.65,2.39,1797,1,1.2455535918474196,1.65,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Rybakina E.,Mertens E.,19,16,2.0,0.0,Completed,1.84,2.08,1798,0,1.0218578529357911,1.84,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Ostapenko J.,Brady J.,32,14,0.0,1.0,Retired,2.47,1.61,1799,0,1.1918936514854432,2.47,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Kerber A.,Svitolina E.,21,5,2.0,1.0,Completed,2.22,1.74,1800,0,1.1915873122215273,2.22,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Garcia C.,Stephens S.,63,62,2.0,1.0,Completed,2.24,1.71,1801,0,1.085020017027855,2.24,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Azarenka V.,Samsonova L.,15,52,2.0,0.0,Completed,1.65,2.36,1802,1,1.2455535918474196,1.65,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Bencic B.,Vondrousova M.,11,42,2.0,0.0,Completed,2.18,1.75,1803,0,1.198435515165329,2.18,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Yastremska D.,Mcnally C.,50,136,2.0,0.0,Completed,1.56,2.58,1804,1,0.9844283151626588,1.56,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Pegula J.,Giorgi C.,30,71,2.0,0.0,Completed,1.71,2.25,1805,1,1.085020017027855,1.71,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Jabeur O.,Kontaveit A.,22,29,2.0,1.0,Completed,1.49,2.81,1806,1,0.8187564927339553,1.49,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,1st Round,Kudermetova V.,Paolini J.,33,98,2.0,0.0,Completed,1.31,3.74,1807,1,1.0517821556329727,1.31,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-18,WTA1000,Outdoor,Hard,2nd Round,Muchova K.,Andreescu B.,23,8,2.0,0.0,Completed,1.81,2.11,1808,1,0.8092850619554519,1.81,2021-08-18
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-19,WTA1000,Outdoor,Hard,3rd Round,Pliskova Ka.,Pegula J.,6,30,2.0,0.0,Completed,2.05,1.86,1809,0,0.8599404215812684,2.05,2021-08-19
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-19,WTA1000,Outdoor,Hard,3rd Round,Kvitova P.,Jabeur O.,12,22,2.0,0.0,Completed,2.18,1.77,1810,0,0.7852761268615722,2.18,2021-08-19
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-19,WTA1000,Outdoor,Hard,3rd Round,Barty A.,Azarenka V.,1,15,2.0,0.0,Completed,1.79,2.15,1811,1,0.8003426855802537,1.79,2021-08-19
